Date,Open,High,Low,Close,Adj Close,Volume
2022-11-28,44.270000,47.459999,43.959999,47.040001,47.040001,1124668
2022-11-29,47.139999,47.869999,46.520000,46.900002,46.900002,603469
2022-11-30,46.959999,47.500000,46.299999,47.389999,47.389999,492666
2022-12-01,47.570000,51.880001,47.389999,51.279999,51.279999,1182653
2022-12-02,50.500000,53.020000,50.500000,51.869999,51.869999,725366
2022-12-05,51.990002,52.380001,50.669998,51.770000,51.770000,498998
2022-12-06,51.919998,52.320000,50.340000,50.840000,50.840000,614923
2022-12-07,50.270000,51.830002,48.430000,51.279999,51.279999,698069
2022-12-08,51.750000,52.779999,50.400002,51.279999,51.279999,537200
2022-12-09,51.250000,52.950001,50.619999,52.740002,52.740002,1899528
2022-12-12,52.400002,54.930000,52.340000,54.759998,54.759998,935754
2022-12-13,55.209999,55.500000,53.029999,54.490002,54.490002,695428
2022-12-14,54.750000,54.849998,54.080002,54.580002,54.580002,492457
2022-12-15,54.080002,54.580002,53.220001,53.770000,53.770000,481671
2022-12-16,53.669998,55.070000,53.270000,54.549999,54.549999,962677
2022-12-19,54.330002,54.500000,53.330002,53.419998,53.419998,333982
2022-12-20,53.200001,53.810001,52.020000,53.380001,53.380001,464725
2022-12-21,53.790001,54.470001,53.259998,54.150002,54.150002,260257
2022-12-22,53.540001,54.000000,52.150002,53.200001,53.200001,323607
2022-12-23,53.200001,53.200001,51.930000,52.099998,52.099998,256647
2022-12-28,50.980000,51.799999,50.060001,50.750000,50.750000,405186
2022-12-29,50.380001,53.200001,50.380001,52.439999,52.439999,413638
2022-12-30,52.000000,52.900002,51.820000,52.270000,52.270000,257108
2023-01-03,52.180000,53.299999,51.400002,52.840000,52.840000,381556
2023-01-04,53.299999,54.820000,52.950001,54.709999,54.709999,598157
2023-01-05,54.500000,56.404999,54.099998,56.240002,56.240002,612864
2023-01-06,56.119999,56.310001,54.630001,54.990002,54.990002,422741
2023-01-09,55.119999,56.660000,54.730000,55.910000,55.910000,537436
2023-01-10,55.680000,56.250000,54.430000,56.230000,56.230000,430645
2023-01-11,56.250000,56.400002,54.259998,55.130001,55.130001,432767
2023-01-12,55.369999,56.880001,55.250000,56.549999,56.549999,548057
2023-01-13,55.849998,58.270000,55.849998,57.880001,57.880001,630576
2023-01-16,57.509998,58.500000,56.910000,56.910000,56.910000,259395
2023-01-17,58.000000,62.500000,57.990002,62.290001,62.290001,1152438
2023-01-18,63.299999,64.900002,63.299999,63.590000,63.590000,728969
2023-01-19,63.299999,63.959999,61.840000,61.860001,61.860001,366547
2023-01-20,62.080002,62.830002,61.099998,62.270000,62.270000,302889
2023-01-23,61.000000,61.959999,60.070000,61.950001,61.950001,374113
2023-01-24,61.099998,62.759998,60.610001,62.200001,62.200001,308602
2023-01-25,61.259998,63.849998,60.810001,63.500000,63.500000,354176
2023-01-26,63.950001,64.739998,62.919998,63.590000,63.590000,352918
2023-01-27,63.299999,64.199997,62.639999,63.220001,63.220001,257637
2023-01-30,62.400002,63.660000,62.290001,62.740002,62.740002,386134
2023-01-31,62.330002,64.830002,62.330002,64.269997,64.269997,560359
2023-02-01,64.339996,65.480003,63.570000,65.239998,65.239998,395796
2023-02-02,65.500000,66.980003,65.209999,65.580002,65.580002,515162
2023-02-03,65.459999,66.660004,64.599998,65.000000,65.000000,426384
2023-02-06,64.709999,66.000000,64.360001,65.889999,65.889999,232987
2023-02-07,65.830002,66.820000,65.500000,66.510002,66.510002,350787
2023-02-08,66.250000,68.150002,66.250000,68.080002,68.080002,553439
2023-02-09,69.000000,69.099998,59.540001,60.070000,60.070000,1266931
2023-02-10,62.000000,62.000000,55.110001,59.799999,59.799999,1037378
2023-02-13,59.540001,60.799999,57.590000,59.380001,59.380001,685869
2023-02-14,58.939999,59.939999,57.400002,58.410000,58.410000,442587
2023-02-15,58.369999,60.639999,57.810001,60.090000,60.090000,566675
2023-02-16,60.000000,63.340000,60.000000,62.040001,62.040001,806574
2023-02-17,61.689999,64.669998,61.590000,64.169998,64.169998,718819
2023-02-21,63.150002,64.379997,61.990002,63.619999,63.619999,619353
2023-02-22,63.520000,67.110001,63.480000,65.199997,65.199997,939100
2023-02-23,66.360001,68.400002,64.250000,65.699997,65.699997,604916
2023-02-24,64.500000,66.180000,63.299999,66.089996,66.089996,469486
2023-02-27,66.000000,67.250000,65.500000,65.870003,65.870003,438450
2023-02-28,65.779999,68.250000,65.750000,68.089996,68.089996,569842
2023-03-01,68.000000,68.160004,66.709999,67.760002,67.760002,515301
2023-03-02,67.349998,69.349998,66.849998,69.059998,69.059998,574319
2023-03-03,69.000000,70.290001,68.959999,69.059998,69.059998,715467
2023-03-06,69.290001,69.430000,67.599998,68.279999,68.279999,380943
2023-03-07,68.260002,70.370003,67.919998,69.500000,69.500000,496599
2023-03-08,69.489998,70.989998,68.900002,69.570000,69.570000,566945
2023-03-09,69.750000,70.050003,68.150002,68.199997,68.199997,347564
2023-03-10,67.839996,67.989998,65.489998,66.080002,66.080002,753728
2023-03-13,64.500000,64.500000,60.009998,60.169998,60.169998,1166276
2023-03-14,60.270000,64.199997,60.270000,63.020000,63.020000,581405
2023-03-15,62.450001,62.500000,57.020000,59.209999,59.209999,776037
2023-03-16,58.610001,62.869999,58.320000,61.959999,61.959999,612047
2023-03-17,62.000000,62.540001,58.500000,59.869999,59.869999,923796
2023-03-20,59.720001,59.869999,55.139999,57.369999,57.369999,675081
2023-03-21,58.380001,60.130001,58.380001,59.500000,59.500000,489831
2023-03-22,59.509998,62.369999,59.169998,61.820000,61.820000,706109
2023-03-23,64.820000,67.500000,62.509998,63.560001,63.560001,1268755
2023-03-24,62.750000,65.589996,62.500000,64.809998,64.809998,615532
2023-03-27,66.629997,67.290001,64.900002,66.220001,66.220001,520414
2023-03-28,66.209999,68.199997,66.029999,68.050003,68.050003,668829
2023-03-29,68.300003,70.300003,68.300003,69.699997,69.699997,647994
2023-03-30,70.099998,71.250000,68.849998,71.250000,71.250000,641313
2023-03-31,71.000000,73.870003,71.000000,73.779999,73.779999,826054
2023-04-03,73.190002,74.430000,71.400002,71.589996,71.589996,503733
2023-04-04,71.139999,72.500000,69.300003,69.980003,69.980003,506654
2023-04-05,70.220001,70.930000,66.660004,67.290001,67.290001,576996
2023-04-06,67.580002,69.089996,66.400002,68.589996,68.589996,380599
2023-04-10,68.290001,70.099998,68.160004,69.529999,69.529999,222153
2023-04-11,69.989998,71.709999,69.519997,70.680000,70.680000,248380
2023-04-12,70.019997,70.690002,66.120003,66.570000,66.570000,777004
2023-04-13,66.610001,70.980003,66.610001,70.589996,70.589996,647895
2023-04-14,70.000000,72.290001,67.559998,68.300003,68.300003,640132
2023-04-17,68.400002,69.760002,67.849998,68.779999,68.779999,596975
2023-04-18,69.059998,70.349998,68.430000,69.879997,69.879997,389128
2023-04-19,69.879997,71.110001,69.430000,69.720001,69.720001,317201
2023-04-20,69.730003,69.790001,68.150002,68.370003,68.370003,318151
2023-04-21,68.449997,69.599998,67.809998,69.309998,69.309998,400528
2023-04-24,69.160004,70.169998,67.639999,67.830002,67.830002,348482
2023-04-25,67.639999,67.650002,66.360001,67.410004,67.410004,307556
2023-04-26,68.000000,68.000000,64.089996,64.540001,64.540001,677687
2023-04-27,66.000000,66.084999,58.580002,61.380001,61.380001,1563924
2023-04-28,61.380001,61.759998,58.320000,58.520000,58.520000,957228
2023-05-01,59.049999,62.000000,59.049999,60.040001,60.040001,873197
2023-05-02,60.000000,60.459999,58.080002,58.220001,58.220001,592388
2023-05-03,58.900002,61.099998,58.450001,60.080002,60.080002,583710
2023-05-04,59.570000,60.189999,56.349998,56.450001,56.450001,738368
2023-05-05,57.150002,58.470001,56.849998,57.779999,57.779999,894551
2023-05-08,57.950001,59.240002,56.099998,57.060001,57.060001,522931
2023-05-09,56.680000,57.450001,56.209999,56.259998,56.259998,361638
2023-05-10,56.610001,56.930000,54.700001,55.160000,55.160000,521772
2023-05-11,55.000000,55.900002,54.730000,55.290001,55.290001,331659
2023-05-12,55.660000,56.439999,54.810001,55.009998,55.009998,535196
2023-05-15,55.060001,56.750000,54.860001,56.049999,56.049999,459389
2023-05-16,55.610001,57.189999,55.000000,56.509998,56.509998,376651
2023-05-17,56.639999,58.650002,56.259998,57.910000,57.910000,458718
2023-05-18,58.480000,60.560001,58.480000,60.060001,60.060001,459898
2023-05-19,60.029999,60.950001,59.299999,60.150002,60.150002,372486
2023-05-23,59.580002,60.040001,57.490002,57.919998,57.919998,510528
2023-05-24,57.669998,57.669998,55.715000,56.240002,56.240002,381651
2023-05-25,55.660000,57.080002,55.209999,56.230000,56.230000,285353
2023-05-26,56.250000,57.310001,56.049999,56.080002,56.080002,323000
2023-05-29,56.029999,56.619999,55.630001,56.459999,56.459999,204021
2023-05-30,55.709999,56.230000,54.740002,54.820000,54.820000,323677
2023-05-31,54.650002,54.730000,52.599998,53.820000,53.820000,491848
2023-06-01,53.820000,55.450001,53.090000,55.310001,55.310001,381559
2023-06-02,55.900002,57.220001,54.970001,56.490002,56.490002,457854
2023-06-05,56.349998,57.599998,55.610001,56.189999,56.189999,336863
2023-06-06,56.180000,60.259998,56.160000,59.320000,59.320000,802458
2023-06-07,59.209999,60.000000,58.330002,58.910000,58.910000,406541
2023-06-08,58.500000,59.880001,58.020000,58.939999,58.939999,268931
2023-06-09,59.009998,61.099998,59.009998,59.410000,59.410000,407663
2023-06-12,59.790001,62.590000,59.750000,62.040001,62.040001,563063
2023-06-13,62.349998,64.580002,62.310001,64.199997,64.199997,457338
2023-06-14,64.260002,66.764999,64.209999,66.209999,66.209999,628978
2023-06-15,66.500000,67.180000,65.680000,67.000000,67.000000,394711
2023-06-16,66.709999,67.580002,65.110001,65.470001,65.470001,537772
2023-06-19,64.769997,65.849998,64.510002,65.550003,65.550003,101287
2023-06-20,65.300003,65.709999,63.119999,64.860001,64.860001,304438
2023-06-21,64.750000,65.379997,63.369999,64.760002,64.760002,299462
2023-06-22,64.330002,65.800003,63.400002,64.750000,64.750000,341195
2023-06-23,63.950001,63.970001,60.369999,60.410000,60.410000,705898
2023-06-26,59.669998,61.599998,59.209999,61.110001,61.110001,443137
2023-06-27,61.110001,64.050003,60.930000,64.029999,64.029999,450735
2023-06-28,63.889999,65.589996,63.220001,65.089996,65.089996,341110
2023-06-29,64.989998,65.550003,63.869999,64.320000,64.320000,223995
2023-06-30,64.970001,65.669998,64.339996,65.309998,65.309998,313841
2023-07-04,64.910004,64.910004,63.320000,63.799999,63.799999,210438
2023-07-05,63.000000,63.560001,62.529999,63.049999,63.049999,195339
2023-07-06,62.549999,63.270000,61.369999,62.980000,62.980000,400583
2023-07-07,62.160000,63.650002,61.160000,61.430000,61.430000,335161
2023-07-10,61.439999,61.680000,60.090000,60.220001,60.220001,391585
2023-07-11,60.439999,61.290001,60.299999,60.740002,60.740002,321030
2023-07-12,61.279999,61.310001,60.119999,60.869999,60.869999,243449
2023-07-13,61.099998,61.160000,60.139999,60.820000,60.820000,251600
2023-07-14,60.709999,61.000000,57.349998,57.820000,57.820000,638939
2023-07-17,57.450001,59.779999,57.439999,58.150002,58.150002,386277
